,hip1_hip2,hip1_hip2,hip1_hip2,hip2_upperlimb,hip2_upperlimb,hip2_upperlimb,upperlimb_knee,upperlimb_knee,upperlimb_knee,knee_ankle,knee_ankle,knee_ankle,ankle_toe1,ankle_toe1,ankle_toe1,toe1_toe2,toe1_toe2,toe1_toe2,,24.67001909
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,,
22,1.812926624,141.9868085,0.978390813,44.50047151,125.8147086,0.976429343,101.0401381,102.0416239,0.992717981,107.6475796,4.664911475,0.899125338,17.84152399,6.257697804,0.955879092,33.92799973,90.13448427,0.948312879,,73.29346459
23,1.779706138,139.3927596,0.978490233,44.52376782,125.9590001,0.976262331,101.0053661,102.0272761,0.992749214,107.6336044,4.695285236,0.898976803,17.83198957,5.993294062,0.954236448,33.92179727,89.81734591,0.948453903,,73.27743864
24,2.19997719,150.6690614,0.97343415,44.41533,126.9413411,0.97545743,100.5869224,108.3984812,0.992348969,106.0072902,10.50966152,0.911499858,17.99351256,349.7628131,0.976454079,37.52949221,95.54560535,0.9588359,,61.09185725
25,9.892581381,13.63225914,0.074719071,179.3664552,76.73304505,0.208095938,122.4866114,195.9487215,0.226182044,110.6627046,12.05021156,0.573905289,20.39546761,11.58326471,0.487247884,16.54176501,165.1907656,0.092278212,,-27.99893303
26,1.627606389,177.8307899,0.975309968,45.22836039,127.6684202,0.942516327,102.0512534,116.0422305,0.984395683,105.435023,19.26754671,0.941305876,15.76843657,14.33740321,0.971935689,33.33292518,98.12347518,0.962028503,,44.69022277
27,2.960503684,177.8998185,0.964348912,43.91918558,128.9685408,0.925189018,101.1483365,118.3077543,0.988059819,108.2826459,22.91368845,0.912521839,18.89308433,25.9125529,0.941898584,36.53412151,111.9824566,0.972121596,,38.77855729
28,6.450304165,149.0486697,0.107468456,18.03765189,86.94132179,0.281334162,124.7597697,204.2180556,0.491574168,115.3117583,20.96784962,0.577444375,6.272773989,11.7466076,0.310219705,41.49958944,93.36730764,0.094983816,,-45.18590518
29,2.969150769,179.6269647,0.965615511,43.92997712,128.9130732,0.925783813,101.1093917,118.2969205,0.988028109,108.2509111,22.90398503,0.912455916,18.93312112,25.88373128,0.941766918,36.5566656,112.0590297,0.972289085,,38.79909447
30,1.311625107,353.7212947,0.978568077,46.39401883,134.1766823,0.976770878,106.6968294,118.9123283,0.991314054,110.693363,28.77953565,0.969282031,13.60410343,14.78407696,0.952101648,41.11919779,112.5310341,0.982786536,,32.30813601
31,10.36549444,26.4428915,0.061691999,234.7121908,88.96662181,0.130302131,138.6000012,226.6524673,0.43069911,120.3600941,35.4390035,0.623085797,9.525013735,37.02940308,0.643776655,27.31255224,119.2810615,0.264546156,,-82.0914708
32,5.012878078,269.6903394,0.347758323,47.82838112,133.5404715,0.079535425,113.6950431,112.1936153,0.622808576,112.2264741,51.58526335,0.531678259,10.60738553,59.9046343,0.649886131,17.47971984,96.65451377,0.078182101,,16.22112132
33,1.275087898,178.3361887,0.984239697,41.68950881,136.0238712,0.971461236,107.2154782,118.1432196,0.991896272,111.4409471,51.85178311,0.937401295,16.54051732,57.03979063,0.931655884,34.95067395,144.2340159,0.988315821,,10.00499724
34,2.520851506,192.276548,0.989431143,41.84392159,133.3159294,0.990968347,108.6070861,116.9487163,0.994496584,112.4882835,60.34113657,0.956628084,13.20585828,52.81430875,0.961374283,36.91402759,147.2193849,0.99001956,,2.710147124
35,2.48032491,190.2938663,0.98945117,41.76992771,133.4070985,0.990916729,108.7070807,116.9740403,0.994579792,112.4771164,60.32326803,0.956608653,13.20474713,52.83116885,0.961304307,36.91693115,147.2308506,0.990041852,,2.702691697
36,2.164047213,236.4283358,0.990867257,42.76915942,131.135685,0.991886377,107.3664116,112.5217457,0.992196321,112.376508,79.79390117,0.983392298,15.66496164,67.59803046,0.978850842,36.03641721,169.423381,0.980032206,,-12.31564686
37,299.4862267,107.2431419,0.101977676,4.209616014,353.3979358,0.19161585,139.3128475,274.5365586,0.230474412,114.565379,76.74341107,0.742352605,9.517330029,89.29185005,0.469789892,39.8614726,152.0139788,0.405076385,,-171.2799696
